,code,real,predic,real_pct,pre_pct
239,sz.002709,60.5700,46.506836,0.36881355932203386,0.05100194209039555
206,sz.002050,24.3100,19.504164,0.27544596012591827,0.02330344921644434
180,sz.000625,19.7500,16.748512,0.2587635436583813,0.06746413435732346
148,sh.603260,119.3500,101.40609,0.24051553892526756,0.054007793189012165
115,sh.601788,16.0700,12.895692,0.23996913580246915,-0.004962046941121456
182,sz.000661,209.0000,171.23106,0.19667907243057536,-0.01957592990109691
106,sh.601628,29.9200,26.17982,0.18871672626142222,0.04011994863153201
285,sh.601628,29.9200,26.17982,0.18871672626142222,0.04011994863153201
162,sh.603993,6.1200,6.247721,0.18375241779497098,0.20845671087445794
155,sh.603659,81.6700,83.62563,0.15909736020437149,0.18685258642841474
92,sh.601236,9.4600,9.287204,0.15225334957369063,0.13120630800941813
78,sh.601066,27.1800,23.901213,0.15169491525423728,0.012763249672065324
277,sh.601066,27.1800,23.901213,0.15169491525423728,0.012763249672065324
2,sh.600010,2.4500,3.37619,0.1448598130841121,0.577658853798269
250,sh.600010,2.4500,3.37619,0.1448598130841121,0.577658853798269
240,sz.002714,57.2500,50.68988,0.13636363636363624,0.006150860879193143
158,sh.603833,135.2500,127.52131,0.12708333333333344,0.0626775741577148
136,sh.601966,23.7000,23.249466,0.12482202183198865,0.10343929484493652
192,sz.000876,15.9200,15.244042,0.11328671328671325,0.06601695080737136
152,sh.603392,147.1200,131.01315,0.11033962264150943,-0.011221486217570797
172,sz.000301,17.2600,17.097853,0.10146777281429498,0.09112014721819905
298,sh.603799,90.8900,106.33983,0.09797052428122743,0.284607737270004
156,sh.603799,90.8900,106.33983,0.09797052428122743,0.284607737270004
213,sz.002202,13.7000,13.913433,0.09687750200160128,0.11396581865101463
17,sh.600085,51.1700,47.29121,0.09524828767123283,0.012226245174669303
96,sh.601319,5.0900,5.8811426,0.09227467811158796,0.26204777173218297
18,sh.600089,26.0500,24.194479,0.0885917258671125,0.011052193424465617
98,sh.601336,31.4200,29.446451,0.08606982371240934,0.017851752061313064
242,sz.002791,98.4700,92.00186,0.08554734869363911,0.014241666544654752
201,sz.002007,21.5600,19.912073,0.08341708542713566,0.0006066902198984536
263,sh.600438,54.6500,49.86771,0.080893987341772,-0.013692442374893421
40,sh.600438,54.6500,49.86771,0.080893987341772,-0.013692442374893421
89,sh.601216,4.9800,5.6532664,0.08026030368763548,0.22630508240805258
104,sh.601601,23.2300,22.335455,0.07745825602968459,0.03596729781057051
284,sh.601601,23.2300,22.335455,0.07745825602968459,0.03596729781057051
243,sz.002812,254.0500,235.42592,0.07730472394198973,-0.001671111105497558
31,sh.600309,91.0200,84.45089,0.07601371320487038,-0.0016445255065333786
260,sh.600309,91.0200,84.45089,0.07601371320487038,-0.0016445255065333786
127,sh.601878,10.7100,10.872823,0.06993006993007,0.08619608007349089
214,sz.002230,41.1900,39.73336,0.06489141675284382,0.02723268589781136
196,sz.000963,42.4200,39.698353,0.06369107321965894,-0.004554844189551099
208,sz.002074,45.6100,43.315796,0.06366604477611926,0.010163150616546046
14,sh.600048,16.0400,16.111694,0.06366047745358094,0.06841474376243362
255,sh.600048,16.0400,16.111694,0.06366047745358094,0.06841474376243362
194,sz.000895,28.9900,28.0287,0.06151592823141705,0.026316363049356584
100,sh.601377,6.9900,7.5562563,0.060698027314112446,0.14662462735212278
57,sh.600763,157.8000,142.57552,0.060198871271163634,-0.04208871441097617
24,sh.600161,24.0800,24.0589,0.059859154929577496,0.0589304944159279
36,sh.600383,12.2200,12.634784,0.058008658008658065,0.09392067054649456
217,sz.002252,5.9400,6.8614902,0.05693950177935947,0.22090573836900163
173,sz.000333,56.0000,53.89517,0.056803170409511106,0.017081870248034647
58,sh.600795,3.8900,4.881274,0.05420054200542013,0.3228385429072187
145,sh.603185,130.0400,120.63487,0.0526145378015217,-0.023515683693350886
81,sh.601111,10.1000,10.61648,0.0498960498960499,0.10358418645085532
228,sz.002466,114.9600,105.19067,0.04651797906235777,-0.04241541921956782
268,sh.600690,25.4300,26.314295,0.044782251437962106,0.08111318056957595
53,sh.600690,25.4300,26.314295,0.044782251437962106,0.08111318056957595
132,sh.601901,6.7000,7.564356,0.04361370716510904,0.17824857480058043
165,sz.000002,18.3000,18.477446,0.04332953249714944,0.05344615749241699
262,sh.600436,332.6000,308.56848,0.04263322884012544,-0.032700685124412265
39,sh.600436,332.6000,308.56848,0.04263322884012544,-0.032700685124412265
233,sz.002594,339.8800,320.4295,0.03808680248007068,-0.021320349425701046
253,sh.600031,18.0100,18.553354,0.03804034582132565,0.06935759442683942
12,sh.600031,18.0100,18.553354,0.03804034582132565,0.06935759442683942
288,sh.601688,14.2900,14.731212,0.03776325344952802,0.06980476850344819
111,sh.601688,14.2900,14.731212,0.03776325344952802,0.06980476850344819
264,sh.600519,1936.0000,1862.937,0.037735849056603765,-0.0014274165315447673
43,sh.600519,1936.0000,1862.937,0.037735849056603765,-0.0014274165315447673
227,sz.002460,135.6000,127.85706,0.036776511965746606,-0.022424777938244267
62,sh.600886,10.5100,11.358185,0.035467980295566415,0.11903298664562811
10,sh.600029,6.7400,7.6402025,0.03533026113671278,0.17361021847585745
210,sz.002129,46.5000,46.49899,0.03402268178785861,0.03400020247330682
73,sh.600999,14.1200,14.4084425,0.032163742690058506,0.053248720559460505
110,sh.601669,7.9200,9.096286,0.02990897269180759,0.18287201820641408
190,sz.000800,9.3300,10.377424,0.0298013245033113,0.14541106403005566
54,sh.600741,23.2100,24.312172,0.029268292682926855,0.07814509694169214
