,code,real,predic,real_pct,pre_pct
173,sz.002050,28.359999999999996,20.144884,0.33647502356267656,-0.05066521632907295
202,sz.002791,113.68,91.11464,0.3227833372120086,0.060212232746410965
155,sz.000661,226.69,177.66704,0.2927858568577131,0.013213789357668704
61,sh.601021,56.900000000000006,47.422176,0.25054945054945077,0.042245634309538316
199,sz.002709,65.95,47.04286,0.240594431903687,-0.11507038894320354
245,sh.601888,222.88,192.66922,0.231313187116734,0.0644120212734276
111,sh.601888,222.88,192.66922,0.231313187116734,0.0644120212734276
169,sz.002007,22.99,19.44349,0.20114942528735624,0.015856273495665096
135,sh.603659,88.8,73.6506,0.1938693197095993,-0.009806445030218547
137,sh.603833,139.5,121.49065,0.19200205075621635,0.03811540940190272
176,sz.002129,54.12,46.373665,0.18918918918918926,0.018977474312393605
9,sh.600029,7.339999999999999,6.3508906,0.17628205128205132,0.017770935327579007
19,sh.600115,5.3500000000000005,4.533062,0.1681222707423582,-0.010248475720268213
47,sh.600763,165.42,148.45145,0.16764311427966394,0.04786790804830332
2,sh.600011,7.14,6.018096,0.16097560975609748,-0.021447809731088063
88,sh.601628,30.42,25.96689,0.1597407548608465,-0.010030867896187234
239,sh.601628,30.42,25.96689,0.1597407548608465,-0.010030867896187234
209,sh.600010,2.51,0.74707764,0.15668202764976957,-0.6557245880777385
1,sh.600010,2.51,0.74707764,0.15668202764976957,-0.6557245880777385
132,sh.603392,150.15,132.17978,0.15500000000000003,0.016767531174879835
124,sh.603160,61.67,56.99777,0.15486891385767798,0.06737394011422482
20,sh.600132,141.2,128.3166,0.15359477124182996,0.04833827299230231
149,sz.000333,59.1,53.07115,0.14913474625704848,0.031910397305044524
162,sz.000858,199.65,182.5172,0.14873417721519,0.05015648248143534
130,sh.603290,381.21,351.28845,0.14477477477477474,0.05492027672203448
230,sh.601012,67.6,58.93891,0.1393898533625484,-0.006591750581690814
60,sh.601012,67.6,58.93891,0.1393898533625484,-0.006591750581690814
161,sz.000786,32.57,29.954845,0.1376178833391548,0.04627472680638478
179,sz.002230,43.14,38.39961,0.13645943097997892,0.01158083804163712
226,sh.600809,317.6,293.3842,0.1330717088833393,0.04667922151628834
49,sh.600809,317.6,293.3842,0.1330717088833393,0.04667922151628834
178,sz.002202,14.38,12.54938,0.13050314465408808,-0.01341349823669824
26,sh.600276,35.66,31.626183,0.12776723592662864,0.00019552676003620206
217,sh.600276,35.66,31.626183,0.12776723592662864,0.00019552676003620206
184,sz.002371,279.66,278.27884,0.11819272291083571,0.1126702883299806
142,sh.605499,160.11,146.1098,0.11793045664013424,0.020177365215010123
62,sh.601066,29.09,23.89861,0.11669865642994237,-0.08258698036940681
231,sh.601066,29.09,23.89861,0.11669865642994237,-0.08258698036940681
35,sh.600436,352.97999999999996,327.3948,0.11423971716278913,0.0334758228107046
220,sh.600436,352.97999999999996,327.3948,0.11423971716278913,0.0334758228107046
188,sz.002460,150.0,133.35898,0.11218210128271666,-0.011203542140695744
177,sz.002179,66.15,90.161545,0.11176470588235299,0.5153200806689864
152,sz.000568,237.0,224.48941,0.10903135236312589,0.050488583998084424
39,sh.600584,26.7,24.582829,0.10696517412935291,0.019188578844465676
159,sz.000768,31.27,29.118816,0.10338743824982366,0.027481170632760232
36,sh.600438,59.02,53.837387,0.10111940298507482,0.004428863525390625
221,sh.600438,59.02,53.837387,0.10111940298507482,0.004428863525390625
186,sz.002414,13.08,11.919309,0.101010101010101,0.003308809967554671
125,sh.603185,136.8,130.39177,0.10003216468317788,0.04850248801205925
203,sz.002821,285.0,278.40683,0.0996218844046608,0.07418330825674957
194,sz.002600,5.11,4.4248695,0.09892473118279566,-0.048415153257308496
15,sh.600085,54.059999999999995,47.45192,0.09878048780487791,-0.03553009033203136
27,sh.600309,94.84,88.91191,0.09768518518518521,0.02907304410581224
218,sh.600309,94.84,88.91191,0.09768518518518521,0.02907304410581224
108,sh.601877,37.29,35.689423,0.09708737864077666,0.04999772307801931
134,sh.603501,174.01,169.60426,0.09495343569091363,0.06723045120604132
250,sh.603501,174.01,169.60426,0.09495343569091363,0.06723045120604132
129,sh.603288,87.08999999999999,80.527756,0.09135338345864663,0.009119746081512448
249,sh.603288,87.08999999999999,80.527756,0.09135338345864663,0.009119746081512448
126,sh.603195,152.86,146.36992,0.09131148711358628,0.04497693170016559
154,sz.000625,20.350000000000005,15.213307,0.08881754949170695,-0.18601886673749235
72,sh.601216,5.04,4.262564,0.08855291576673863,-0.07935978784416975
165,sz.000938,19.24,18.057451,0.08823529411764697,0.021349052498243593
37,sh.600519,2036.0,1880.7195,0.088188134687333,0.005194806211584746
222,sh.600519,2036.0,1880.7195,0.088188134687333,0.005194806211584746
42,sh.600600,100.0,93.84608,0.08754758020663411,0.02062073915532392
170,sz.002008,33.7,31.03852,0.08744756373023588,0.0015656925778730901
206,sz.002920,161.53,148.5041,0.08409395973154354,-0.0033281569512898512
185,sz.002410,56.29,53.69043,0.08375048132460527,0.03370099513862157
38,sh.600570,45.7,43.04853,0.08345187292555711,0.020591052124544262
223,sh.600570,45.7,43.04853,0.08345187292555711,0.020591052124544262
138,sh.603882,80.09,76.4263,0.08302907369844492,0.03348613994358507
182,sz.002304,180.44,172.47525,0.08209895052473759,0.034334334297694946
158,sz.000725,3.99,2.8898852,0.08130081300812986,-0.21683328261543433
127,sh.603259,102.15000000000002,104.84324,0.08095238095238111,0.10945226275731645
248,sh.603259,102.15000000000002,104.84324,0.08095238095238111,0.10945226275731645
80,sh.601336,32.13,29.551529,0.07710358699296016,-0.009335268834593902
181,sz.002271,48.09,47.175488,0.0758389261744965,0.055380033966678566
146,sz.000069,5.93,5.398586,0.07427536231884058,-0.021995326747064947
200,sz.002714,58.31,52.696335,0.07384898710865584,-0.029533428381819604
238,sh.601601,23.379999999999995,21.972338,0.07198532783126987,0.0074432701869930895
86,sh.601601,23.379999999999995,21.972338,0.07198532783126987,0.0074432701869930895
94,sh.601698,11.490000000000002,11.040904,0.06883720930232573,0.027060841405114555
213,sh.600048,16.16,15.449654,0.06737120211360637,0.020452683321550813
12,sh.600048,16.16,15.449654,0.06737120211360637,0.020452683321550813
172,sz.002032,57.230000000000004,54.2074,0.06593406593406592,0.009636827633353606
22,sh.600183,17.17,16.522623,0.06447613143211428,0.024341169382132044
140,sh.603986,139.98,139.35867,0.06424389873032754,0.05952005698854346
251,sh.603986,139.98,139.35867,0.06424389873032754,0.05952005698854346
139,sh.603899,52.38000000000001,50.553143,0.06269020085209998,0.025626750813703136
163,sz.000876,16.07,14.349717,0.06142668428005282,-0.05219833948495689
171,sz.002027,6.6,6.0790734,0.06109324758842449,-0.02265700496661316
55,sh.600926,14.58,13.985216,0.05882352941176472,0.01562934936434801
46,sh.600760,60.75,58.920094,0.057993730407523536,0.02612493097138535
151,sz.000538,58.8,57.739697,0.05660377358490587,0.03755070085688339
123,sh.603087,46.72,44.790676,0.05581920903954796,0.012218669309454366
66,sh.601138,9.9,9.524973,0.05543710021321946,0.015455534717421449
122,sh.603019,28.799999999999997,28.003468,0.05340160936356986,0.024267284557953683
11,sh.600036,41.28,40.701534,0.051987767584097844,0.037246031377172084
212,sh.600036,41.28,40.701534,0.051987767584097844,0.037246031377172084
101,sh.601816,4.920000000000001,4.538162,0.051282051282051544,-0.030307215503138307
225,sh.600588,20.25,19.445627,0.05031120331950212,0.008590623056245583
41,sh.600588,20.25,19.445627,0.05031120331950212,0.008590623056245583
205,sz.002916,96.05,96.16387,0.05007106155023511,0.051315969882330004
45,sh.600741,25.06,22.76273,0.047221061429168376,-0.0487785355296535
131,sh.603369,49.63,48.411114,0.04594309799789276,0.020255294815883618
166,sz.000963,43.2,42.061275,0.044740024183796745,0.017201341769715217
157,sz.000708,20.59,20.082884,0.044647387113140535,0.018918510138958178
64,sh.601100,60.38,54.49049,0.042832469775474946,-0.05888618377000343
133,sh.603486,113.66,112.41444,0.04027091341753608,0.028870916532418356
144,sz.000002,18.45,17.949312,0.03943661971830981,0.011228856906084994
247,sh.601995,45.40999999999999,42.606388,0.03913043478260847,-0.02502544411805463
120,sh.601995,45.40999999999999,42.606388,0.03913043478260847,-0.02502544411805463
153,sz.000596,235.1,228.21121,0.03819827776551121,0.007777488002663535
236,sh.601318,46.89999999999999,45.64784,0.03715170278637747,0.009461269184637189
77,sh.601318,46.89999999999999,45.64784,0.03715170278637747,0.009461269184637189
